iter	RMSE
0	12214.43037
1	11949.69386
2	11716.97566
3	11461.70012
4	11214.6138
5	10962.54827
6	10727.40806
7	10509.52315
8	10284.76938
9	10075.65027
10	9862.693547
11	9662.290686
12	9463.957314
13	9293.806954
14	9113.746468
15	8947.256015
16	8774.247745
17	8606.230057
18	8459.17608
19	8301.45157
20	8147.002808
21	7996.202102
22	7854.42498
23	7713.068206
24	7590.30087
25	7475.407607
26	7353.92378
27	7232.49315
28	7119.7945
29	7019.842254
30	6917.293549
31	6808.34644
32	6704.078226
33	6607.472894
34	6511.609518
35	6415.948969
36	6332.189479
37	6258.522488
38	6170.965289
39	6092.180343
40	6011.118828
41	5937.477229
42	5880.384903
43	5815.079818
44	5743.563375
45	5677.069209
46	5625.533203
47	5562.190156
48	5505.47024
49	5451.932341
50	5399.851875
51	5352.781912
52	5311.265654
53	5268.637536
54	5228.5622
55	5183.425225
56	5141.458103
57	5101.094228
58	5063.044437
59	5028.544626
60	4989.063444
61	4951.316396
62	4916.660791
63	4880.472499
64	4843.347814
65	4812.362299
66	4785.204577
67	4752.145325
68	4727.877159
69	4702.571848
70	4670.047252
71	4644.059289
72	4621.133083
73	4601.9933
74	4577.591005
75	4561.616828
76	4545.836673
77	4529.058295
78	4507.232637
79	4493.418521
80	4476.554437
81	4463.346949
82	4449.398336
83	4436.680034
84	4421.849131
85	4407.440516
86	4395.261258
87	4380.579195
88	4366.263659
89	4355.220562
90	4340.291558
91	4325.630439
92	4317.805272
93	4307.235269
94	4297.689018
95	4288.15161
96	4278.248514
97	4269.211972
98	4259.276467
99	4249.125607
100	4239.124451
101	4229.724708
102	4220.168378
103	4210.598471
104	4201.116163
105	4190.210799
106	4181.972478
107	4172.441188
108	4165.496397
109	4158.075173
110	4151.201189
111	4145.754251
112	4139.866905
113	4132.635804
114	4122.877856
115	4112.507542
116	4106.594798
117	4100.620049
118	4089.857681
119	4084.288196
120	4076.252196
121	4071.604544
122	4066.688598
123	4061.382652
124	4053.537281
125	4047.660607
126	4041.56709
127	4035.68644
128	4031.577686
129	4027.996462
130	4023.002549
131	4016.821183
132	4012.40596
133	4007.456487
134	3999.794749
135	3995.118574
136	3990.360225
137	3988.13371
138	3981.146472
139	3975.963475
140	3971.753638
141	3968.202507
142	3963.354541
143	3961.427042
144	3957.416647
145	3952.521381
146	3949.576095
147	3947.180452
148	3944.568538
149	3941.413156
150	3938.129541
151	3930.406677
152	3926.985313
153	3922.670901
154	3918.792376
155	3916.39271
156	3913.280641
157	3909.828785
158	3906.595566
159	3903.669329
160	3897.997281
161	3895.635449
162	3890.50602
163	3886.236414
164	3881.75886
165	3878.432483
166	3875.032556
167	3873.290306
168	3869.133098
169	3866.921281
170	3862.820605
171	3860.554387
172	3856.871174
173	3854.364666
174	3849.637397
175	3846.572141
176	3844.898443
177	3840.246635
178	3836.225257
179	3835.189133
180	3833.441629
181	3831.424233
182	3827.520615
183	3824.710047
184	3820.429065
185	3816.935562
186	3811.977155
187	3809.359383
188	3805.807281
189	3801.999818
190	3799.81349
191	3795.83511
192	3790.610461
193	3787.945536
194	3784.43826
195	3783.318169
196	3779.553428
197	3776.528332
198	3774.921791
199	3773.736973
200	3770.203686
201	3767.567988
202	3765.216377
203	3763.253866
204	3759.494151
205	3756.976958
206	3754.597171
207	3753.265969
208	3750.099877
209	3745.730472
210	3741.768461
211	3738.982531
212	3735.56925
213	3733.203991
214	3730.294578
215	3727.70181
216	3726.065219
217	3724.806215
218	3722.307563
219	3718.113837
220	3713.908341
221	3710.713272
222	3707.110216
223	3702.878504
224	3700.253757
225	3696.584598
226	3692.909522
227	3691.325667
228	3688.887508
229	3685.853491
230	3681.843979
231	3680.581503
232	3678.706416
233	3676.898864
234	3674.840556
235	3671.591206
236	3669.317542
237	3664.668551
238	3662.386609
239	3661.121435
240	3657.540473
241	3656.123456
242	3652.8334
243	3649.392385
244	3646.874408
245	3642.886139
246	3641.414135
247	3637.920855
248	3634.405272
249	3633.042498
250	3630.534409
251	3628.811588
252	3624.620023
253	3621.869655
254	3620.465573
255	3616.745966
256	3614.025243
257	3609.809941
258	3606.001633
259	3601.768583
260	3598.893458
261	3595.733991
262	3592.540416
263	3591.223645
264	3588.487476
265	3584.872399
266	3584.218843
267	3582.641047
268	3578.405028
269	3577.150248
270	3576.714864
271	3574.697497
272	3573.500013
273	3572.182425
274	3570.86825
275	3569.770424
276	3567.391074
277	3562.237323
278	3556.595338
279	3553.228978
280	3549.90662
281	3548.058987
282	3546.383202
283	3545.69352
284	3543.64577
285	3542.187627
286	3540.515317
287	3535.859951
288	3531.462997
289	3530.531658
290	3526.823857
291	3519.954644
292	3516.282486
293	3514.927282
294	3510.942059
295	3509.125787
296	3508.020904
297	3505.367493
298	3501.821461
299	3497.732385
300	3493.35874
301	3488.047085
302	3486.536613
303	3483.136392
304	3481.72957
305	3480.46525
306	3475.972733
307	3472.241386
308	3470.13977
309	3468.761098
310	3467.808359
311	3466.003796
312	3464.818373
313	3463.373029
314	3459.1253
315	3458.265197
316	3454.301615
317	3452.692891
318	3451.790654
319	3447.727538
320	3442.969733
321	3441.788208
322	3438.915834
323	3437.985033
324	3436.475082
325	3432.182133
326	3428.43658
327	3421.767032
328	3418.95758
329	3417.751476
330	3416.368362
331	3414.838014
332	3410.423935
333	3405.343961
334	3404.045522
335	3402.141536
336	3397.655158
337	3394.413242
338	3391.540613
339	3386.405582
340	3383.687138
341	3382.868074
342	3382.007543
343	3380.4333
344	3379.760183
345	3378.813638
346	3375.230118
347	3373.916833
348	3370.803365
349	3369.459746
350	3364.596765
351	3358.51597
352	3354.973721
353	3351.13714
354	3349.480356
355	3346.902819
356	3342.888518
357	3338.417612
358	3335.233561
359	3332.649636
360	3331.311391
361	3329.587574
362	3326.038259
363	3324.668003
364	3320.307985
365	3317.397346
366	3315.669158
367	3314.651015
368	3311.02795
369	3307.462575
370	3302.883028
371	3299.690453
372	3298.967845
373	3296.18518
374	3294.833891
375	3293.217841
376	3290.350486
