iter	Passed	Remaining
0	5	5355
1	8	4350
2	11	3891
3	14	3662
4	18	3630
5	22	3807
6	26	3709
7	29	3654
8	32	3578
9	35	3507
10	38	3473
11	41	3416
12	44	3365
13	47	3324
14	50	3313
15	54	3344
16	58	3384
17	62	3403
18	66	3414
19	71	3527
20	77	3606
21	81	3636
22	84	3603
23	88	3587
24	90	3547
25	93	3515
26	96	3484
27	99	3467
28	102	3435
29	105	3408
30	108	3393
31	111	3367
32	114	3347
33	117	3350
34	122	3383
35	126	3380
36	129	3369
37	132	3365
38	136	3375
39	140	3378
40	144	3382
41	148	3382
42	151	3362
43	153	3342
44	156	3328
45	159	3313
46	162	3293
47	165	3283
48	168	3276
49	171	3260
50	174	3244
51	177	3235
52	180	3219
53	182	3204
54	185	3189
55	188	3182
56	191	3167
57	194	3154
58	198	3160
59	202	3169
60	208	3213
61	212	3218
62	217	3234
63	221	3237
64	225	3239
65	229	3246
66	233	3247
67	237	3255
68	241	3255
69	245	3255
70	249	3260
71	253	3261
72	257	3266
73	260	3264
74	264	3261
75	269	3270
76	273	3278
77	277	3284
78	282	3297
79	285	3284
80	288	3277
81	291	3264
82	294	3250
83	297	3242
84	300	3230
85	302	3219
86	305	3207
87	308	3200
88	311	3190
89	314	3178
90	317	3172
91	320	3161
92	323	3150
93	325	3142
94	329	3139
95	332	3130
96	335	3126
97	339	3125
98	342	3119
99	346	3118
100	349	3113
101	353	3109
102	356	3104
103	359	3095
104	362	3087
105	365	3079
106	368	3075
107	371	3066
108	373	3056
109	377	3050
110	379	3041
111	382	3032
112	385	3024
113	388	3018
114	391	3009
115	393	3000
116	396	2995
117	400	2992
118	403	2986
119	407	2988
120	410	2982
121	413	2979
122	417	2976
123	420	2970
124	423	2966
125	427	2965
126	430	2957
127	433	2949
128	436	2944
129	438	2937
130	441	2929
131	444	2920
132	447	2916
133	450	2909
134	452	2902
135	456	2897
136	459	2891
137	461	2884
138	464	2876
139	467	2872
140	470	2865
141	472	2857
142	476	2853
143	479	2850
144	483	2849
145	486	2846
146	489	2842
147	493	2839
148	496	2838
149	499	2831
150	502	2824
151	505	2820
152	508	2813
153	511	2807
154	513	2800
155	516	2792
156	518	2785
157	521	2779
158	524	2773
159	527	2770
160	530	2763
161	532	2757
162	536	2754
163	539	2748
164	541	2741
165	544	2735
166	547	2732
167	550	2728
168	554	2725
169	557	2723
170	561	2720
171	564	2718
172	567	2714
173	570	2710
174	573	2704
175	576	2700
176	579	2694
177	582	2689
178	585	2685
179	588	2680
180	590	2673
181	593	2668
182	596	2664
183	599	2659
184	602	2653
185	605	2649
186	608	2643
187	610	2637
188	613	2633
189	616	2628
190	619	2624
191	622	2619
192	626	2617
193	628	2613
194	632	2609
195	636	2609
196	639	2604
197	642	2601
198	645	2599
